Credit_total	Sexe	Education	Statut_marital	Age	Statut_mois_1	Statut_mois_2	Statut_mois_3	Statut_mois_4	Statut_mois_5	Statut_mois_6	Montant_mois_1	Montant_mois_2	Montant_mois_3	Montant_mois_4	Montant_mois_5	Montant_mois_6	Versement_mois_1	Versement_mois_2	Versement_mois_3	Versement_mois_4	Versement_mois_5	Versement_mois_6
4762	2	2	1	29	0	0	0	0	0	-2	4870	4061	1920	1960	0	0	171	93	93	0	0	0
3333	2	2	2	26	-1	-1	-1	-1	0	0	240	154	322	2248	2221	2252	154	323	2248	74	86	86
4762	2	1	1	39	-1	-1	-1	-2	-1	-1	345	189	0	0	12	105	189	0	0	12	105	0
3333	1	1	2	29	0	0	0	0	0	0	709	765	810	561	580	103	95	71	71	24	24	48
3095	2	2	2	25	1	2	2	2	0	0	105	99	239	127	130	109	0	143	0	4	8	2
2143	2	2	2	23	0	0	0	0	0	0	285	446	468	334	339	224	167	32	26	9	7	8
6429	1	1	2	33	-1	-1	-1	-1	-1	-1	231	223	332	213	364	429	224	333	213	365	429	5
7143	1	2	2	27	-1	-1	-1	-1	0	-1	33	596	226	2179	1923	64	598	228	2180	6	64	24
3810	2	2	1	55	0	0	0	0	0	0	2052	1999	1466	1398	1354	1333	95	71	48	48	71	119
4762	2	2	2	26	0	0	0	-1	0	0	299	272	114	279	293	257	26	24	279	62	8	6
7857	1	2	1	48	-2	-2	-2	-2	-2	-2	144	199	213	65	65	65	200	214	65	65	65	65
6190	2	2	1	37	1	-1	-1	-1	0	-1	0	7	22	897	870	14	7	22	897	0	14	8
2857	2	1	2	24	0	0	0	0	0	0	1805	1810	1600	1189	790	472	88	48	48	48	29	24
3810	2	2	2	25	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
11905	2	1	1	38	-1	2	-1	-1	-1	0	14	7	12	7	14	11	0	12	7	14	7	14
1905	2	2	2	26	0	-1	0	0	0	-1	12	10	85	54	53	115	12	84	52	52	200	192
1429	2	2	2	23	0	0	0	0	0	0	1343	1360	1382	1405	942	928	49	54	49	36	36	36
5476	2	1	2	28	0	-1	0	0	-1	0	374	314	585	741	1442	237	314	477	262	1442	190	144
3810	2	2	1	31	0	0	0	0	0	0	3222	3482	1825	1901	1975	2028	119	238	119	119	95	95
1190	1	2	2	35	0	0	0	0	-1	-1	346	258	228	174	30	79	48	48	48	30	78	0
476	1	2	2	21	0	0	0	0	0	0	445	440	467	437	223	0	38	42	24	24	0	0
1429	1	2	2	24	0	0	0	0	0	0	1137	627	394	376	423	225	35	48	0	48	0	0
5476	2	1	1	46	-2	-2	-2	-2	-2	-2	118	225	183	126	49	150	225	183	126	49	150	432
1190	1	2	2	30	0	0	0	0	0	0	1203	1161	1064	472	325	259	95	53	24	36	24	36
1190	1	1	2	26	-1	0	0	0	0	0	429	442	457	466	477	445	39	30	16	17	23	17
5238	2	1	2	24	0	0	0	0	0	0	1236	1264	1290	1316	1347	1381	48	47	48	53	60	56
238	1	3	2	24	1	3	2	3	2	0	132	138	144	138	133	140	12	12	0	0	10	9
6667	1	2	2	30	0	0	0	0	0	0	694	355	5652	5567	4735	4502	31	5568	165	141	456	141
714	2	3	2	33	0	0	2	0	0	2	535	604	587	603	631	622	78	0	29	34	0	13
9524	2	1	2	33	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
4048	1	2	1	49	2	2	2	2	2	2	643	716	431	454	447	191	96	0	25	0	19	0
5476	2	1	2	36	-1	-1	-1	0	0	0	37	7	200	178	156	14	7	200	0	0	0	8
2381	2	1	1	39	2	2	2	2	2	2	2316	2370	2379	2376	2325	2404	112	70	74	0	147	0
1190	1	2	1	45	1	2	0	0	0	0	1177	1151	1170	1177	498	478	0	49	33	17	17	17
4048	1	1	2	36	-1	-1	-1	-1	-1	-1	201	15	180	0	12	14	15	180	0	12	14	0
9524	1	2	1	40	7	6	5	4	3	2	9652	9470	9283	9166	9092	8555	0	0	0	3	54	1015
1667	2	2	2	30	2	0	0	2	0	0	709	727	786	767	783	800	37	71	0	29	30	48
5000	2	2	2	34	0	0	0	0	0	0	1516	1364	1413	1461	1509	1551	52	71	71	71	71	83
1190	1	3	1	44	0	0	0	0	0	0	379	413	446	457	419	401	48	48	24	24	24	24
4286	2	3	2	25	0	0	0	0	0	0	2871	2318	2090	2132	2182	2238	84	76	76	83	95	88
5238	2	2	2	39	0	0	0	0	0	0	3385	3359	3343	3346	3341	3351	167	167	119	143	150	143
5000	2	1	1	44	-1	-1	-1	-2	-2	-2	357	46	0	0	0	0	46	0	0	0	0	0
1190	2	2	2	44	-1	-1	-1	-1	-1	-1	12	35	30	20	2	6	35	30	20	2	6	14
1905	2	3	1	49	0	0	0	0	0	0	1904	1808	1761	1712	1426	1414	64	68	71	71	95	60
11905	2	1	2	51	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
10714	2	1	2	25	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
4286	1	2	2	43	-1	-1	-2	-2	-2	-2	141	136	57	248	60	52	137	57	248	60	52	331
3810	2	2	1	34	0	0	0	0	0	0	126	141	167	193	205	225	36	29	48	24	24	12
1905	1	1	1	41	2	2	2	2	2	2	1904	1975	1992	2011	1998	1909	117	71	71	74	0	262
6190	1	1	2	29	0	0	0	0	0	0	1240	1240	1112	1131	1072	1149	143	119	119	95	119	119
2857	2	1	2	32	0	0	0	0	2	0	763	949	1023	1045	648	6	238	119	75	0	0	2754
5238	2	2	1	33	-2	-2	-2	-2	-2	-2	230	198	38	32	195	339	198	38	32	195	339	84
3571	2	1	2	25	0	0	0	0	-1	0	3585	3540	3507	3451	1288	145	124	76	88	1649	25	0
11905	2	2	1	32	0	0	0	0	0	0	9655	9933	10225	10272	10477	10691	476	452	286	214	214	10548
7619	2	2	2	33	-1	-1	-1	-1	-1	-1	381	46	210	89	18	130	46	210	89	18	130	18
4762	1	1	2	31	1	-2	-1	-1	-1	-1	0	0	1198	673	1004	0	0	1198	673	1004	120	72
1190	2	1	2	39	0	0	0	0	0	0	1128	1159	1151	1080	463	473	50	55	31	24	17	14
9286	2	1	1	28	0	0	0	0	0	0	1445	1534	1607	1633	1557	1586	119	119	119	119	119	119
2143	2	2	1	24	0	0	0	0	0	2	2058	2136	1683	1752	2161	1278	119	79	544	79	0	39
5952	2	1	1	47	-1	-1	-1	-1	-1	-1	1026	253	1186	473	1335	1082	253	1186	473	1335	1082	712
1667	2	2	1	29	0	0	0	0	0	-2	274	262	333	163	0	0	48	96	48	0	0	0
3810	1	1	1	39	-2	-2	-2	-2	-2	-2	99	0	0	0	70	0	1	0	0	70	0	289
1190	1	4	2	46	0	0	0	-1	0	0	1175	1182	474	457	466	456	34	24	457	16	17	18
8571	2	3	1	39	-1	-1	-1	-1	-1	-2	118	4	48	27	0	0	4	48	27	0	0	0
2143	2	2	1	34	-1	2	-1	-1	-2	-2	8	4	10	0	0	0	0	10	0	0	0	0
4048	2	2	2	51	0	0	0	0	0	0	3673	3850	3930	3958	2611	2688	238	179	161	95	119	119
2381	2	1	2	33	0	0	0	0	0	0	1795	1067	1126	922	936	964	48	119	36	38	48	65
2619	2	2	2	26	-2	-2	-2	-2	-2	-2	10	77	136	30	44	10	77	141	0	71	0	0
3571	1	1	1	35	0	0	0	0	0	0	3816	3666	3089	2454	1296	1118	145	121	100	45	38	36
476	1	2	1	27	0	0	0	-2	-2	-2	386	108	0	0	0	0	48	0	0	0	0	0
4762	2	1	1	37	1	-2	-2	-2	-1	-1	0	0	0	0	14	0	0	0	0	14	0	56
2143	1	2	1	31	0	0	0	0	-2	-2	126	179	247	0	0	0	60	71	0	0	0	0
3095	2	2	2	30	0	0	0	0	-2	-2	3020	3069	372	0	0	0	138	24	0	0	0	0
5952	2	2	2	30	0	0	0	0	0	0	4701	4806	4911	5023	5136	5207	179	179	190	190	190	202
8333	1	1	2	35	2	-1	-1	0	-1	-1	2	79	1192	191	197	550	79	1195	1	198	550	119
3571	2	1	2	27	-2	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0
7381	2	3	1	31	0	0	0	0	0	0	5100	4243	3350	2497	1839	1766	214	143	119	71	95	71
1190	1	2	2	37	0	0	0	0	0	0	1194	1203	1192	1170	1159	0	49	48	33	40	0	0
1429	2	2	2	25	0	0	0	0	0	0	188	220	264	289	402	419	36	48	30	119	24	17
476	1	2	2	34	-1	-1	-1	2	2	-2	9	9	19	19	0	0	9	19	0	0	0	0
2381	2	1	2	27	0	0	0	0	0	0	1038	1092	1296	1334	1416	1131	71	238	63	119	48	95
4524	1	2	2	34	2	0	0	0	2	2	3090	3128	3200	3389	3336	3573	119	119	238	0	289	66
476	2	3	1	54	1	2	2	2	0	0	171	165	200	217	233	250	0	38	24	24	21	0
5714	2	2	1	43	0	0	0	0	0	0	1155	1167	1120	1091	941	973	52	46	40	48	48	31
5476	2	1	2	27	1	2	0	0	-1	-1	1110	1077	250	161	104	40	0	24	3	104	40	67
1905	2	3	1	57	0	0	0	0	0	0	1912	1548	1484	1031	973	966	81	329	85	39	36	43
