Credit_total	Sexe	Education	Statut_marital	Age	Statut_mois_1	Statut_mois_2	Statut_mois_3	Statut_mois_4	Statut_mois_5	Statut_mois_6	Montant_mois_1	Montant_mois_2	Montant_mois_3	Montant_mois_4	Montant_mois_5	Montant_mois_6	Versement_mois_1	Versement_mois_2	Versement_mois_3	Versement_mois_4	Versement_mois_5	Versement_mois_6	Defaut_de_paiement
1190	1	2	2	27	2	2	0	0	0	0	2245	1176	982	234	214	219	133	38	12	12	12	16	0
5238	1	1	1	45	1	2	0	0	0	0	3741	3650	3738	3779	3860	3938	0	181	136	143	143	293	0
1190	2	2	2	22	0	0	0	0	0	0	1195	1168	1036	705	722	688	47	36	24	27	26	48	1
1905	2	1	2	27	-1	-1	2	-1	-1	-1	24	308	292	57	10	69	309	0	57	10	76	175	1
1667	1	2	2	27	0	0	0	0	0	0	1507	1566	1556	2004	1135	1173	98	57	60	43	57	114	0
1905	2	3	1	55	0	0	0	-2	-2	-2	1725	983	0	0	0	0	71	0	0	0	0	0	0
2143	1	3	2	42	2	2	2	2	2	2	1542	1504	781	753	696	674	0	69	0	60	0	31	1
4524	2	1	2	27	0	0	0	0	0	0	1730	906	938	912	935	878	48	48	36	36	31	31	1
3095	1	1	1	58	0	0	0	0	0	-1	3278	3312	1193	1174	352	4	102	36	0	0	29	21	0
5952	2	3	1	44	0	0	0	0	0	0	3960	3930	4036	4118	3242	3318	159	168	151	117	129	106	0
3095	1	1	2	34	0	0	0	0	0	0	555	335	370	2573	2231	2318	71	48	2214	95	120	95	0
1905	1	1	1	47	-1	-1	-1	-1	-1	-1	48	56	135	40	74	109	56	135	40	74	109	133	1
14286	2	1	1	53	-2	-2	-2	-2	-2	-2	2007	653	0	0	159	1977	653	0	0	159	1977	0	0
8571	2	1	2	27	-1	-1	-1	-1	-1	0	16	16	16	26	118	92	16	16	26	118	0	30	0
1190	2	2	1	49	-1	-1	0	0	-1	-1	74	604	564	544	32	495	604	29	11	32	495	13	0
2381	2	1	1	51	1	-2	-2	-1	2	2	0	0	0	7	4	19	0	0	7	0	15	0	1
2143	1	1	1	37	0	0	0	0	0	0	2182	2045	2075	2075	1594	1569	74	102	93	55	57	63	0
714	2	2	2	42	3	2	2	0	-1	-1	53	73	68	39	287	308	24	0	0	287	26	0	1
476	1	2	2	33	0	0	0	0	0	0	321	356	390	424	434	420	48	48	48	24	19	17	0
10714	2	2	2	36	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
1905	1	2	1	31	0	0	0	0	0	0	1130	1182	1203	1269	666	664	71	48	690	48	48	48	1
2857	2	2	1	40	1	2	3	2	3	2	1377	1480	1442	1521	1482	1511	140	0	117	0	60	60	1
3095	1	2	3	22	0	0	-2	-2	-1	-1	600	0	0	0	12	0	0	0	0	12	0	0	0
1667	2	1	1	29	0	0	0	0	0	0	1632	1654	1657	1657	1636	1650	79	74	67	62	70	71	0
1190	2	2	1	23	0	0	0	0	0	0	1169	1056	922	681	697	650	43	51	24	26	24	24	0
1905	1	3	1	38	0	0	0	0	0	0	459	478	499	493	443	494	33	31	24	16	60	0	0
4286	2	2	1	41	0	0	0	0	0	0	222	181	216	273	115	170	27	38	71	60	119	119	0
7381	1	2	2	41	0	0	0	0	0	0	8795	8147	7108	4009	3613	1740	244	221	167	167	119	4476	0
4762	2	2	1	33	0	0	0	0	0	0	566	618	643	601	527	328	95	48	14	71	95	2	0
3571	2	2	2	44	0	0	0	0	0	0	940	988	1045	1058	1081	1112	63	71	36	38	48	48	0
2143	1	2	2	27	0	0	2	0	0	0	1173	1224	1137	1095	1046	884	72	29	39	38	38	48	0
714	2	3	1	56	1	3	2	2	2	2	599	583	574	616	599	640	0	7	60	0	50	0	0
1190	1	2	2	36	-1	-1	-1	-1	-1	-1	30	30	40	30	30	9	30	40	30	30	9	9	0
6190	2	1	1	51	1	-1	-1	-1	-1	-2	0	48	13	5	0	0	48	13	5	0	0	0	0
4286	2	2	2	25	0	0	0	0	2	2	113	137	158	200	193	210	30	27	45	0	24	0	0
5714	2	2	1	42	-1	-1	-1	-1	-1	-1	47	32	8	220	185	179	32	8	220	185	179	15	0
2619	2	3	1	39	0	0	0	0	0	0	2558	2543	1799	1803	1781	1811	96	67	81	64	66	66	0
8571	2	1	2	26	-1	-1	-1	-1	-1	-1	170	1048	517	121	218	144	1053	520	121	219	145	393	0
6190	2	1	1	42	-2	-2	-2	-2	-2	-2	9	15	11	18	6	10	15	11	18	6	10	8	0
5238	1	1	2	29	0	0	0	0	0	0	5145	4513	4377	3759	3925	4007	241	286	139	238	157	139	0
6667	2	1	1	41	2	-1	-1	-1	-2	-1	7	163	12	0	0	6	163	12	0	0	6	0	0
7381	2	1	1	41	-1	0	0	0	0	0	730	3021	3082	2533	2355	2205	2381	382	119	71	71	71	0
4762	2	2	1	29	0	0	0	0	0	0	1862	1926	1969	2055	2118	2203	95	95	119	119	119	119	0
476	2	1	2	25	-1	-1	-1	-1	-1	-1	47	8	77	29	8	8	8	77	29	8	8	8	0
9286	2	2	1	39	-1	-1	-1	-1	-1	0	20	20	20	25	362	361	20	20	25	357	24	24	0
3571	2	2	2	28	0	0	0	0	0	0	2027	2115	2199	1973	1819	1911	119	119	119	119	119	119	1
2381	1	2	2	30	0	0	0	0	0	-1	747	766	770	691	466	805	38	35	0	1	832	7	0
1190	1	3	1	36	0	0	0	0	0	0	1069	1101	1174	1200	450	464	49	99	53	18	22	15	0
3810	2	2	1	38	1	-2	-2	-2	-2	-2	0	0	0	0	0	0	0	0	0	0	0	0	1
5952	2	2	1	35	0	0	0	0	0	0	5785	5824	5791	5834	5903	5889	198	189	193	201	210	186	0
238	2	1	2	24	0	0	0	0	0	0	158	169	180	211	220	199	48	48	48	24	24	24	0
4762	2	1	2	32	-2	-2	-2	-2	-2	-2	164	262	12	267	455	594	262	12	267	455	594	260	0
1429	1	2	2	28	0	0	0	0	0	0	1446	1463	1424	723	1078	585	95	32	663	31	45	71	1
714	2	2	2	25	0	0	0	0	0	0	582	691	672	529	523	538	119	36	13	13	18	8	0
4286	1	1	1	38	2	2	2	2	2	2	1126	1173	1195	1217	1242	1267	71	48	48	48	48	50	1
3095	1	1	1	47	2	2	2	2	2	2	2755	2792	2829	2855	2889	2906	117	119	107	110	105	100	0
3571	1	1	2	34	-1	2	2	2	0	0	970	948	1116	1091	1261	1429	0	203	0	210	213	222	0
6190	2	2	2	26	0	0	0	0	0	0	5184	5288	5243	4921	4411	3980	227	188	220	169	155	149	0
4048	2	3	3	56	1	-2	-1	-1	-2	-1	0	0	47	0	0	4	0	47	0	0	4	15	0
10714	1	2	1	29	0	0	0	0	0	0	4275	3761	2814	1968	422	168	193	286	846	1	48	179	0
3095	2	2	3	38	-1	-1	-1	0	0	-1	19	0	282	172	210	9	0	282	48	48	9	9	0
4048	2	1	1	38	-1	-1	-2	-2	-2	-1	141	0	0	0	0	71	0	0	0	0	71	225	0
5476	1	2	2	27	-1	-1	-1	-1	-1	-1	9	9	9	9	9	13	9	9	9	9	13	9	0
3333	2	2	1	26	0	0	0	0	0	0	3095	3143	3030	1160	1164	1183	167	119	48	48	48	48	0
476	2	2	1	47	0	0	0	0	0	0	466	431	433	452	476	0	34	48	72	48	0	0	0
1190	2	3	1	36	0	0	0	0	0	0	1144	1147	1159	1169	472	269	42	51	64	13	24	24	0
5476	2	2	1	48	0	0	0	0	0	0	8201	7624	7096	6479	4900	4268	262	298	262	167	874	158	0
1905	2	2	1	27	1	2	2	2	2	-1	95	38	89	48	0	50	0	52	0	0	50	0	1
