t_min,t_max,t_moy,vent,ensoleillement,precipitations,p_min,p_max
7.6,9.6,8.4,22.2,0,0,1034,1036.6
5.6,7.2,6.3,24.1,0,0,1037.3,1041.3
4.1,6.6,5.4,16.7,0,0,1040.2,1041.8
3.1,6,4.7,20.4,0,0,1039.5,1041.7
4.2,5.9,5,20.4,0,0,1037.5,1039.6
4.3,6.8,5.6,16.7,0,0,1036.5,1038
6.8,8.6,7.4,20.4,0,0.6,1030.5,1037.2
7.4,9.7,8.5,24.1,120,0,1025.9,1029.7
4,7.7,5.2,29.6,42,0.8,1024.1,1026.4
2.1,5.5,4,18.5,30,0,1026.6,1029.5
4.2,8.3,6.2,14.8,0,1.2,1028.1,1030.5
6.7,9.1,8,22.2,0,0.8,1021.7,1030.6
8.8,11.9,10.5,31.5,30,0.8,1014,1021.1
8.5,10.9,8.8,29.6,0,0,1014,1024.8
6.9,8.6,7.6,16.7,0,0,1020.3,1025.3
1.9,7.8,5.2,27.8,276,3,1007.9,1019.6
4,8.5,5.4,27.8,0,0,1007.5,1019.7
0.9,6.1,2.4,18.5,342,0,1017.2,1021
-1.7,2.8,0.3,14.8,78,4,1009.7,1016.8
1.9,3,2.5,20.4,0,0.8,1010.1,1021.8
-2.2,3.6,0.1,13,480,0,1019.2,1024.9
-2.4,1.7,-0.1,20.4,0,7.4,998.4,1018.3
0.6,2.1,1.3,24.1,6,1,995.6,1007.4
-0.4,2.5,1.2,20.4,0,1,1008.4,1015.5
1.7,5.5,3.9,13,0,1.2,1015.2,1018.4
5.5,9.6,8.4,29.6,24,1.6,998.1,1016.9
4.4,8.2,6.4,37,6,4.4,989.8,1001.4
2.7,6.9,4.4,25.9,216,0,1001.7,1011.7
-0.8,5.2,1.7,24.1,18,19.6,989.5,1011.7
0.5,5.2,2.3,33.3,252,0.4,990,998.9
-1,2.5,1.3,25.9,24,1.2,983.5,998
